date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-10-01,2024,10,2024-10,인천,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,전북,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,제주,1699.3188211381023,54.81673616574523,0.95,52.07589935745797,28.299408000440927,Moderate
2024-10-01,2024,10,2024-10,충남,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-10-01,2024,10,2024-10,충북,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-11-01,2024,11,2024-11,강원,2863.3165969341007,95.44388656447002,0.95,90.67169223624651,96.98641306197406,Very High
2024-11-01,2024,11,2024-11,경남,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,경북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,광주,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,대구,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,대전,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,부산,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,서울,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-11-01,2024,11,2024-11,울산,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,인천,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,전북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,제주,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,충남,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-11-01,2024,11,2024-11,충북,2351.5980852932344,78.38660284310781,0.95,74.46727270095242,68.1482168851143,High
2024-12-01,2024,12,2024-12,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-12-01,2024,12,2024-12,경남,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,경북,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,광주,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,대구,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,대전,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,부산,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,서울,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,세종,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,울산,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,인천,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,전남,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,전북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-12-01,2024,12,2024-12,제주,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-12-01,2024,12,2024-12,충북,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
