year,month,ym,sido_name,pm25_mean,pm10_mean,pm25_p90,pm10_p90,pm25_alert_days,pm10_alert_days
2022,8,2022-08,경북,8.733080328905757,17.797596457938013,13.705882352941176,25.07843137254902,0.0,0.0
2022,9,2022-09,경북,8.5,19.38562091503268,11.750980392156864,23.633333333333336,0.0,0.0
2022,10,2022-10,경북,12.583870967741936,24.250322580645165,18.88,33.92,0.0,0.0
2022,11,2022-11,경북,22.4483660130719,37.586928104575165,31.772549019607844,49.45882352941177,2.0,0.0
2022,12,2022-12,경북,19.444655281467426,33.25426944971537,26.745098039215687,43.254901960784316,1.0,0.0
2023,1,2023-01,경북,22.37887413029728,40.2460468058191,38.98039215686274,72.41176470588235,4.0,0.0
2023,2,2023-02,경북,24.14217032967033,37.93681318681319,37.34615384615385,54.003846153846155,7.0,0.0
2023,3,2023-03,경북,23.470223325062037,59.193548387096776,33.78846153846154,89.96153846153847,3.0,2.0
2023,4,2023-04,경북,20.398076923076925,67.23076923076923,32.55192307692308,148.18269230769235,2.0,4.0
2023,5,2023-05,경북,16.329404466501238,35.13957816377172,22.096153846153847,50.55769230769231,0.0,1.0
2023,6,2023-06,경북,13.825641025641026,24.992948717948714,19.428846153846152,34.10576923076923,0.0,0.0
2023,7,2023-07,경북,13.993796526054592,24.362903225806452,22.23076923076923,34.75,0.0,0.0
2023,8,2023-08,경북,11.765672550213022,21.041996348143645,16.471698113207548,26.867924528301888,0.0,0.0
2023,9,2023-09,경북,11.016981132075472,21.397484276729553,17.145283018867925,29.047169811320753,0.0,0.0
2023,10,2023-10,경북,15.415632754342433,28.471464019851123,21.807692307692307,36.61538461538461,0.0,0.0
2023,11,2023-11,경북,18.04654088050314,29.91006289308176,25.333962264150944,43.943396226415096,1.0,0.0
2023,12,2023-12,경북,21.172854534388314,34.14120511259891,35.24528301886792,63.83018867924528,4.0,0.0
2024,1,2024-01,경북,20.994522215459526,31.661594643944003,31.735849056603772,43.679245283018865,1.0,0.0
2024,2,2024-02,경북,17.815363881401616,27.644878706199457,33.5433962264151,46.241509433962264,3.0,0.0
2024,3,2024-03,경북,21.130249543517955,44.96226415094339,29.28301886792453,72.94339622641509,1.0,1.0
2024,4,2024-04,경북,22.542307692307688,57.4525641025641,31.903846153846164,88.74038461538467,3.0,3.0
2024,5,2024-05,경북,15.068238213399502,31.026674937965254,19.384615384615383,39.40384615384615,0.0,0.0
2024,6,2024-06,경북,16.451282051282053,29.5698717948718,25.982692307692307,47.96923076923077,0.0,0.0
2024,7,2024-07,경북,10.92866004962779,20.92183622828784,15.826923076923077,28.365384615384617,0.0,0.0
2024,8,2024-08,경북,11.71758977480219,21.804017041996346,18.41509433962264,27.943396226415093,0.0,0.0
2024,9,2024-09,경북,9.484276729559747,20.372327044025155,14.101886792452833,26.526415094339626,0.0,0.0
2024,10,2024-10,경북,11.365185636031647,22.807668898356663,16.264150943396228,29.641509433962263,0.0,0.0
2024,11,2024-11,경북,14.819496855345916,26.771698113207542,19.08867924528302,34.071698113207546,0.0,0.0
2024,12,2024-12,경북,17.350496277915635,29.916253101736967,24.942307692307693,39.96153846153846,0.0,0.0
2025,1,2025-01,경북,,37.189205955334984,,56.0,,0.0
2025,2,2025-02,경북,,33.70467032967033,,52.15384615384615,,0.0
2025,3,2025-03,경북,,45.35240413877053,,78.24528301886792,,2.0
2025,4,2025-04,경북,,38.93522012578616,,62.56792452830189,,0.0
2025,5,2025-05,경북,,29.958003651856355,,42.301886792452834,,0.0
2025,6,2025-06,경북,,29.51823899371069,,39.44150943396227,,0.0
2025,7,2025-07,경북,,21.246500304321362,,29.0188679245283,,0.0
2025,8,2025-08,경북,,20.775410833840535,,27.169811320754718,,0.0
2025,9,2025-09,경북,,17.86918238993711,,23.45660377358491,,0.0
2025,10,2025-10,경북,,18.90566037735849,,27.62264150943396,,0.0
2025,11,2025-11,경북,,34.02830188679245,,45.66981132075472,,0.0
2025,12,2025-12,경북,,2.0893300248138957,,0.0,,0.0
2018,1,2018-01,광주,28.648745519713266,46.516129032258064,47.111111111111114,81.875,10.0,1.0
2018,2,2018-02,광주,30.694444444444446,51.714285714285715,53.166666666666664,78.41250000000001,8.0,1.0
2018,3,2018-03,광주,31.14336917562724,48.70161290322581,59.888888888888886,89.625,10.0,1.0
2018,4,2018-04,광주,24.229629629629628,56.016666666666666,37.422222222222224,87.525,6.0,2.0
2018,5,2018-05,광주,21.0573476702509,41.11290322580645,32.888888888888886,62.0,1.0,0.0
2018,6,2018-06,광주,26.140740740740743,42.083333333333336,43.044444444444444,60.7625,6.0,0.0
2018,7,2018-07,광주,14.831541218637994,26.616935483870968,27.11111111111111,39.875,1.0,0.0
2018,8,2018-08,광주,13.064516129032258,24.596774193548388,17.333333333333332,30.875,0.0,0.0
2018,9,2018-09,광주,13.959259259259259,26.5625,19.63333333333334,37.550000000000004,0.0,0.0
2018,10,2018-10,광주,18.046594982078858,33.564516129032256,26.77777777777778,48.25,3.0,0.0
2018,11,2018-11,광주,34.20740740740741,57.32083333333333,44.63333333333335,85.32500000000005,12.0,3.0
2018,12,2018-12,광주,27.01433691756272,46.20967741935484,51.333333333333336,86.125,7.0,1.0
2019,1,2019-01,광주,32.67741935483871,55.314516129032256,57.77777777777778,85.0,12.0,2.0
2019,2,2019-02,광주,34.96031746031746,61.45982142857143,60.02222222222222,89.8375,10.0,2.0
2019,3,2019-03,광주,40.129032258064505,67.50806451612904,101.55555555555556,143.5,12.0,5.0
2019,4,2019-04,광주,21.6962962962963,46.0625,31.533333333333335,67.97500000000004,1.0,1.0
2019,5,2019-05,광주,24.103942652329746,51.30241935483871,40.333333333333336,68.0,6.0,0.0
2019,6,2019-06,광주,25.848148148148145,42.46666666666667,36.144444444444446,55.3375,4.0,0.0
2019,7,2019-07,광주,16.88888888888889,29.826612903225808,30.555555555555557,47.125,1.0,0.0
2019,8,2019-08,광주,17.483870967741936,31.43548387096774,29.0,43.375,0.0,0.0
2019,9,2019-09,광주,15.08888888888889,28.175,24.322222222222223,37.8,1.0,0.0
2019,10,2019-10,광주,16.949820788530467,34.70161290322581,27.11111111111111,51.625,0.0,0.0
2019,11,2019-11,광주,18.95555555555556,38.19583333333333,27.20000000000001,60.825,3.0,1.0
2019,12,2019-12,광주,17.14076246334311,25.561290322580636,26.454545454545453,35.6,1.0,0.0
2020,1,2020-01,광주,27.48680351906159,38.05806451612902,50.45454545454545,67.2,9.0,0.0
2020,2,2020-02,광주,22.006493506493506,34.56428571428572,42.481818181818184,58.69,4.0,0.0
2020,3,2020-03,광주,18.873900293255133,36.16774193548387,25.90909090909091,50.4,1.0,0.0
2020,4,2020-04,광주,17.684848484848484,37.019999999999996,25.5,50.97,0.0,0.0
2020,5,2020-05,광주,17.809384164222873,30.354838709677423,26.727272727272727,41.8,0.0,0.0
2020,6,2020-06,광주,18.415151515151518,31.70333333333333,28.927272727272733,57.99,0.0,0.0
2020,7,2020-07,광주,9.096774193548388,14.887096774193548,18.09090909090909,26.0,0.0,0.0
2020,8,2020-08,광주,12.7683284457478,19.70967741935484,22.09090909090909,30.5,0.0,0.0
2020,9,2020-09,광주,13.436363636363636,21.25,21.89090909090909,31.56000000000001,0.0,0.0
2020,10,2020-10,광주,18.20234604105572,31.68064516129032,28.09090909090909,48.6,2.0,0.0
2020,11,2020-11,광주,19.611111111111107,32.04545454545455,35.30833333333334,51.16363636363637,4.0,0.0
2020,12,2020-12,광주,22.18663594470046,33.650124069478906,37.5,53.23076923076923,5.0,0.0
2021,1,2021-01,광주,22.718894009216587,37.41439205955335,35.642857142857146,66.84615384615384,5.0,0.0
2021,2,2021-02,광주,25.035714285714285,41.1978021978022,41.69285714285714,61.43076923076923,7.0,0.0
2021,3,2021-03,광주,27.442396313364053,67.14640198511167,42.07142857142857,79.46153846153847,7.0,2.0
2021,4,2021-04,광주,18.019047619047623,40.61794871794872,29.021428571428572,59.85384615384617,0.0,0.0
2021,5,2021-05,광주,20.412442396313363,50.78660049627792,27.785714285714285,100.76923076923077,2.0,4.0
2021,6,2021-06,광주,17.235714285714284,27.94615384615384,23.592857142857145,44.330769230769235,0.0,0.0
2021,7,2021-07,광주,9.9815668202765,15.801488833746896,16.285714285714285,23.384615384615383,1.0,0.0
2021,8,2021-08,광주,9.813364055299537,17.411910669975185,13.285714285714286,22.692307692307693,0.0,0.0
2021,9,2021-09,광주,,15.36923076923077,,19.446153846153848,,0.0
2021,10,2021-10,광주,15.029953917050692,26.0,22.928571428571427,38.53846153846154,0.0,0.0
2021,11,2021-11,광주,21.76428571428572,35.76923076923077,33.92142857142858,57.32307692307693,3.0,0.0
2021,12,2021-12,광주,23.19585253456221,35.62531017369727,40.857142857142854,58.84615384615385,6.0,0.0
2022,1,2022-01,광주,23.730414746543783,33.19106699751862,42.92857142857143,53.07692307692308,5.0,0.0
2022,2,2022-02,광주,24.538265306122447,34.74175824175824,52.18571428571429,66.66153846153847,6.0,0.0
